id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,lic,q,length,time,date,uploaded,rmk,bird-seen,playback-used
498017,Casuarius,unappendiculatus,,Northern Cassowary,Marc Anderson,Indonesia,near Malagufuk; Klasow Valley; Sorong; Papua Barat,-0.8052,131.6433,100,call,//www.xeno-canto.org/498017,//www.xeno-canto.org/498017/download,//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:30,08:30,2019-08-18,2019-09-19,Loud series of rolling deep rattles from an unseen bird. Recorded on remote microphones.,no,unknown
498016,Casuarius,unappendiculatus,,Northern Cassowary,Marc Anderson,Indonesia,near Malagufuk; Klasow Valley; Sorong; Papua Barat,-0.8052,131.6433,100,call,//www.xeno-canto.org/498016,//www.xeno-canto.org/498016/download,//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:28,07:30,2019-08-19,2019-09-19,Grunts from an immature bird,yes,unknown
498015,Casuarius,unappendiculatus,,Northern Cassowary,Marc Anderson,Indonesia,near Malagufuk; Klasow Valley; Sorong; Papua Barat,-0.8052,131.6433,100,call,//www.xeno-canto.org/498015,//www.xeno-canto.org/498015/download,//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:21,07:30,2019-08-19,2019-09-19,Grunts from an immature bird,yes,unknown
209609,Casuarius,unappendiculatus,,Northern Cassowary,Frank Lambert,Indonesia,Nimbokrang; Papua,-2.5831,140.1608,70,call,//www.xeno-canto.org/209609,//www.xeno-canto.org/209609/download,//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:07,07:42,2013-07-28,2015-01-08,,no,no
121885,Dendrocygna,guttata,,Spotted Whistling Duck,Bas van Balen,Indonesia,Timika; Freeport; Mimika; Papua,-4.5583,136.8924,20,call,//www.xeno-canto.org/121885,//www.xeno-canto.org/121885/download,//creativecommons.org/licenses/by-nc-sa/3.0/,B,0:10,08:20,1997-01-27,2013-02-18,,yes,no
203628,Dendrocygna,arcuata,,Wandering Whistling Duck,Mike Nelson,Indonesia,Lolayan; Bolaang Mongondow; North Sulawesi,0.6512,124.2202,300,call,//www.xeno-canto.org/203628,//www.xeno-canto.org/203628/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:17,16:30,2014-09-14,2014-11-25,,yes,no
46907,Dendrocygna,arcuata,arcuata,Wandering Whistling Duck,Bas van Balen,Indonesia,Pematanggadung; West Kalimantan; Borneo,-1.9487,110.2258,10,?,//www.xeno-canto.org/46907,//www.xeno-canto.org/46907/download,//creativecommons.org/licenses/by-nc-nd/2.5/,B,0:41,9:47,2008-12-03,2010-04-15,two parties flushed,unknown,unknown
46906,Dendrocygna,arcuata,arcuata,Wandering Whistling Duck,Bas van Balen,Indonesia,Pematanggadung; West Kalimantan; Borneo,-1.9487,110.2258,10,?,//www.xeno-canto.org/46906,//www.xeno-canto.org/46906/download,//creativecommons.org/licenses/by-nc-nd/2.5/,B,0:20,9:35,2008-12-03,2010-04-15,swimming and in flight,unknown,unknown
46905,Dendrocygna,arcuata,arcuata,Wandering Whistling Duck,Bas van Balen,Indonesia,Pematanggadung; West Kalimantan; Borneo,-1.9487,110.2258,10,?,//www.xeno-canto.org/46905,//www.xeno-canto.org/46905/download,//creativecommons.org/licenses/by-nc-nd/2.5/,B,0:18,9:25,2008-12-03,2010-04-15,swimming,unknown,unknown
194162,Dendrocygna,arcuata,arcuata,Wandering Whistling Duck,Frank Lambert,Indonesia,Toraut; Sulawesi,0.5667,123.9026,240,call; flight call,//www.xeno-canto.org/194162,//www.xeno-canto.org/194162/download,//creativecommons.org/licenses/by-nc-nd/4.0/,C,0:04,08:57,2014-08-19,2014-09-04,,yes,no
